DEPTH,BV1,BV2,"""""VOCC_LAB[32]"[64]"[96]"[105]",CLOSURE,COLOR_PRT,G1,G2,MODE,"""""C_LAB[32]"[64]"[96]"[105]",PD1,PD2,PERMEABILITY,POROSITY,PRT,R35,ROCK_TYPE,SAMPLE
FEET,%,%,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,PU,ALPHA*16,"","",MICRONS,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,PSI,MD,%,"",MICRONS,ALPHA*16,""
30,33.4009,5.06668,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.00103302,0.0129348,0.128797,0.460754,1.02566,1.77507,2.64627,3.58526,4.55195,5.51873,6.46758,7.38728,8.27134,9.11643,9.92129,10.686,11.4116,12.0995,12.7515,13.3685,13.9544,14.5102,15.0377,15.5387,16.015,16.4681,16.8995,17.3105,17.7026,18.0768,18.4344,18.7762,19.1034,19.4166,19.7169,20.0049,20.2814,20.547,20.8023,21.0478,21.2842,21.5119,21.7314,21.943,22.1473,22.3445,22.535,22.7192,22.8973,23.0696,23.2365,23.3981,23.5548,23.7066,23.8539,23.9969,24.1357,24.2705,24.4014,24.5287,24.6525,24.7729,24.8901,25.0042,25.1153,25.2236,25.3291,25.4319,25.5323,25.6301,0.018586,CYAN,0.917647,0.0403627,3.28727,0.5,0.56,0.6272,0.702464,0.78676,0.881171,0.986911,1.10534,1.23798,1.38654,1.55292,1.73927,1.94799,2.18175,2.44356,2.73678,3.0652,3.43302,3.84498,4.30638,4.82315,5.40192,6.05016,6.77617,7.58931,8.50003,9.52004,10.6624,11.9419,13.375,14.98,16.7776,18.7909,21.0458,23.5713,26.3998,29.5678,33.1159,37.0898,41.5406,46.5255,52.1085,58.3616,65.365,73.2088,81.9938,91.8331,102.853,115.195,129.019,144.501,161.841,181.262,203.014,227.375,254.66,285.22,319.446,357.779,400.713,448.798,502.654,562.973,630.53,706.193,790.936,885.849,992.15,1111.208,1244.553,1393.9,1561.168,1748.508,1958.329,2193.329,2456.528,2751.311,3081.469,3451.245,3865.394,4329.242,4848.75,5430.601,6082.272,6812.146,7629.603,8545.155,9570.574,10719.04,12005.33,13445.97,15059.48,16866.62,18890.62,21157.49,23696.39,26539.96,29724.75,33291.72,37286.73,41761.13,46772.47,52385.16,58671.39,65711.95,22.661,224.207,15.53,18.6,1,1.88361,Macro,30.0000
31,30.4598,-999.25,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.00109917,0.00576185,0.0381918,0.134024,0.317724,0.594874,0.957381,1.3906,1.87829,2.40522,2.9583,3.5268,4.10221,4.67797,5.24908,5.81185,6.3636,6.90243,7.42707,7.93672,8.43093,8.90953,9.37254,9.82015,10.2527,10.6704,11.0739,11.4635,11.8397,12.203,12.5539,12.8929,13.2205,13.5372,13.8433,14.1394,14.4259,14.7031,14.9715,15.2315,15.4833,15.7274,15.964,16.1935,16.4162,16.6323,16.8421,17.0459,17.244,17.4364,17.6235,17.8055,17.9826,18.1549,18.3226,18.486,18.6452,18.8002,18.9514,19.0987,19.2425,19.3827,19.5195,19.6531,19.7835,19.9108,20.0352,20.1568,20.2756,20.3917,20.5053,20.6163,20.725,20.8313,20.9353,21.0372,21.1369,21.2346,21.3303,21.424,21.5159,21.6059,21.6941,21.7807,21.8655,21.9487,22.0304,1.02329,CYAN,1.4086,-999.25,14.2348,0.5,0.56,0.6272,0.702464,0.78676,0.881171,0.986911,1.10534,1.23798,1.38654,1.55292,1.73927,1.94799,2.18175,2.44356,2.73678,3.0652,3.43302,3.84498,4.30638,4.82315,5.40192,6.05016,6.77617,7.58931,8.50003,9.52004,10.6624,11.9419,13.375,14.98,16.7776,18.7909,21.0458,23.5713,26.3998,29.5678,33.1159,37.0898,41.5406,46.5255,52.1085,58.3616,65.365,73.2088,81.9938,91.8331,102.853,115.195,129.019,144.501,161.841,181.262,203.014,227.375,254.66,285.22,319.446,357.779,400.713,448.798,502.654,562.973,630.53,706.193,790.936,885.849,992.15,1111.208,1244.553,1393.9,1561.168,1748.508,1958.329,2193.329,2456.528,2751.311,3081.469,3451.245,3865.394,4329.242,4848.75,5430.601,6082.272,6812.146,7629.603,8545.155,9570.574,10719.04,12005.33,13445.97,15059.48,16866.62,18890.62,21157.49,23696.39,26539.96,29724.75,33291.72,37286.73,41761.13,46772.47,52385.16,58671.39,65711.95,2.975,-999.25,23.2,21.55,1,2.05842,Macro,31.0000
32,27.7099,-999.25,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.818749,4.6098,8.32005,11.2084,13.4146,15.1274,16.4862,17.5865,18.494,19.2543,19.9,20.455,20.9369,21.3592,21.7322,22.064,22.3611,22.6286,22.8707,23.0909,23.292,23.4763,23.6459,23.8025,23.9475,24.0821,24.2074,24.3244,24.4338,24.5364,24.6328,24.7235,24.809,24.8898,24.9662,25.0385,25.1072,25.1724,25.2344,25.2935,25.3498,25.4036,25.455,25.5041,25.5511,25.5962,25.6394,25.6809,25.7208,25.7591,25.796,25.8316,25.8658,25.8988,25.9306,25.9614,25.9911,26.0198,26.0476,26.0744,26.1004,26.1256,26.1501,26.1738,26.1967,26.219,1.00929,CYAN,0.18,-999.25,4.71089,0.5,0.56,0.6272,0.702464,0.78676,0.881171,0.986911,1.10534,1.23798,1.38654,1.55292,1.73927,1.94799,2.18175,2.44356,2.73678,3.0652,3.43302,3.84498,4.30638,4.82315,5.40192,6.05016,6.77617,7.58931,8.50003,9.52004,10.6624,11.9419,13.375,14.98,16.7776,18.7909,21.0458,23.5713,26.3998,29.5678,33.1159,37.0898,41.5406,46.5255,52.1085,58.3616,65.365,73.2088,81.9938,91.8331,102.853,115.195,129.019,144.501,161.841,181.262,203.014,227.375,254.66,285.22,319.446,357.779,400.713,448.798,502.654,562.973,630.53,706.193,790.936,885.849,992.15,1111.208,1244.553,1393.9,1561.168,1748.508,1958.329,2193.329,2456.528,2751.311,3081.469,3451.245,3865.394,4329.242,4848.75,5430.601,6082.272,6812.146,7629.603,8545.155,9570.574,10719.04,12005.33,13445.97,15059.48,16866.62,18890.62,21157.49,23696.39,26539.96,29724.75,33291.72,37286.73,41761.13,46772.47,52385.16,58671.39,65711.95,36.933,-999.25,30.07,26.2,1,1.99905,Macro,32.0000
33,34.6546,-999.25,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.00101362,0.0293742,0.321935,1.05732,2.14531,3.42926,4.78783,6.14512,7.45846,8.70618,9.87903,10.9749,11.9955,12.9448,13.8274,14.6483,15.4127,16.1251,16.7902,17.4119,17.994,18.5399,19.0526,19.535,19.9894,20.4181,20.8231,21.2064,21.5695,21.9139,22.2411,22.5522,22.8483,23.1306,23.3999,23.657,23.9029,24.1381,24.3634,24.5794,24.7865,24.9855,25.1766,25.3604,25.5373,25.7076,25.8717,26.03,26.1827,26.3301,26.4725,26.6102,26.7433,26.8722,26.9969,27.1177,27.2348,27.3483,27.4584,27.5653,27.669,27.7698,27.8677,27.9629,28.0555,28.1455,28.2332,28.3185,28.4016,28.4825,28.5614,28.6383,28.7133,0.170735,CYAN,0.675658,-999.25,5.81828,0.5,0.56,0.6272,0.702464,0.78676,0.881171,0.986911,1.10534,1.23798,1.38654,1.55292,1.73927,1.94799,2.18175,2.44356,2.73678,3.0652,3.43302,3.84498,4.30638,4.82315,5.40192,6.05016,6.77617,7.58931,8.50003,9.52004,10.6624,11.9419,13.375,14.98,16.7776,18.7909,21.0458,23.5713,26.3998,29.5678,33.1159,37.0898,41.5406,46.5255,52.1085,58.3616,65.365,73.2088,81.9938,91.8331,102.853,115.195,129.019,144.501,161.841,181.262,203.014,227.375,254.66,285.22,319.446,357.779,400.713,448.798,502.654,562.973,630.53,706.193,790.936,885.849,992.15,1111.208,1244.553,1393.9,1561.168,1748.508,1958.329,2193.329,2456.528,2751.311,3081.469,3451.245,3865.394,4329.242,4848.75,5430.601,6082.272,6812.146,7629.603,8545.155,9570.574,10719.04,12005.33,13445.97,15059.48,16866.62,18890.62,21157.49,23696.39,26539.96,29724.75,33291.72,37286.73,41761.13,46772.47,52385.16,58671.39,65711.95,16.911,-999.25,32.58,27.5,1,2.00163,Macro,33.0000
34,14.971,-999.25,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.001,1.86741,5.18016,7.34444,8.76033,9.7432,10.4614,11.0079,11.4372,11.783,12.0675,12.3055,12.5076,12.6813,12.8322,12.9645,13.0813,13.1854,13.2786,13.3626,13.4386,13.5078,13.571,13.629,13.6824,13.7317,13.7774,13.8198,13.8593,13.8962,13.9308,13.9631,13.9936,14.0222,14.0492,14.0748,14.0989,14.1218,14.1435,14.1642,14.1838,14.2025,14.2203,14.2374,14.2536,14.2692,14.2841,14.2984,14.3121,14.3253,14.3379,14.3501,14.3618,14.3731,14.3839,14.3944,3.12287,YELLOW,0.10665,-999.25,1.47389,0.5,0.56,0.6272,0.702464,0.78676,0.881171,0.986911,1.10534,1.23798,1.38654,1.55292,1.73927,1.94799,2.18175,2.44356,2.73678,3.0652,3.43302,3.84498,4.30638,4.82315,5.40192,6.05016,6.77617,7.58931,8.50003,9.52004,10.6624,11.9419,13.375,14.98,16.7776,18.7909,21.0458,23.5713,26.3998,29.5678,33.1159,37.0898,41.5406,46.5255,52.1085,58.3616,65.365,73.2088,81.9938,91.8331,102.853,115.195,129.019,144.501,161.841,181.262,203.014,227.375,254.66,285.22,319.446,357.779,400.713,448.798,502.654,562.973,630.53,706.193,790.936,885.849,992.15,1111.208,1244.553,1393.9,1561.168,1748.508,1958.329,2193.329,2456.528,2751.311,3081.469,3451.245,3865.394,4329.242,4848.75,5430.601,6082.272,6812.146,7629.603,8545.155,9570.574,10719.04,12005.33,13445.97,15059.48,16866.62,18890.62,21157.49,23696.39,26539.96,29724.75,33291.72,37286.73,41761.13,46772.47,52385.16,58671.39,65711.95,128.435,-999.25,16.64,17.3,2,2.08118,Meso,34.0000
35,29.0356,-999.25,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,1.57684,6.88823,11.1709,14.2049,16.4,18.0452,19.3187,20.3314,21.1549,21.8372,22.4116,22.9015,23.3243,23.6928,24.0168,24.3038,24.5599,24.7897,24.9972,25.1853,25.3568,25.5136,25.6576,25.7904,25.9131,26.0269,26.1327,26.2313,26.3234,26.4097,26.4907,26.5668,26.6385,26.7062,26.7702,26.8307,26.8881,26.9426,26.9944,27.0437,27.0906,27.1354,27.1782,27.2191,27.2583,27.2958,27.3317,27.3662,27.3994,27.4312,27.4618,27.4913,27.5197,27.5471,27.5735,27.5989,27.6236,27.6473,27.6703,27.6926,27.7141,27.735,27.7552,27.7748,27.7938,27.8122,27.8301,27.8475,27.8644,0.903985,CYAN,0.14,-999.25,6.88151,0.5,0.56,0.6272,0.702464,0.78676,0.881171,0.986911,1.10534,1.23798,1.38654,1.55292,1.73927,1.94799,2.18175,2.44356,2.73678,3.0652,3.43302,3.84498,4.30638,4.82315,5.40192,6.05016,6.77617,7.58931,8.50003,9.52004,10.6624,11.9419,13.375,14.98,16.7776,18.7909,21.0458,23.5713,26.3998,29.5678,33.1159,37.0898,41.5406,46.5255,52.1085,58.3616,65.365,73.2088,81.9938,91.8331,102.853,115.195,129.019,144.501,161.841,181.262,203.014,227.375,254.66,285.22,319.446,357.779,400.713,448.798,502.654,562.973,630.53,706.193,790.936,885.849,992.15,1111.208,1244.553,1393.9,1561.168,1748.508,1958.329,2193.329,2456.528,2751.311,3081.469,3451.245,3865.394,4329.242,4848.75,5430.601,6082.272,6812.146,7629.603,8545.155,9570.574,10719.04,12005.33,13445.97,15059.48,16866.62,18890.62,21157.49,23696.39,26539.96,29724.75,33291.72,37286.73,41761.13,46772.47,52385.16,58671.39,65711.95,26.473,-999.25,40.2,27.3,1,2.25543,Macro,35.0000
36,19.9127,-999.25,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.288068,5.04641,8.77942,11.1097,12.6558,13.7474,14.5566,15.1794,15.6733,16.0742,16.4062,16.6854,16.9236,17.1291,17.3083,17.4658,17.6053,17.7299,17.8417,17.9426,18.0341,18.1176,18.1939,18.264,18.3287,18.3884,18.4439,18.4954,18.5434,18.5883,18.6304,18.6699,18.707,18.7419,18.7749,18.8061,18.8356,18.8636,18.8902,18.9155,18.9395,18.9624,18.9843,19.0052,19.0251,19.0442,19.0625,19.0801,19.0969,19.1131,19.1286,19.1436,19.158,19.1719,19.1852,19.1981,19.2106,19.2226,19.2342,19.2454,19.2563,19.2668,19.277,19.2869,19.2964,19.3057,0.01491,CYAN,0.1,-999.25,4.84803,0.5,0.56,0.6272,0.702464,0.78676,0.881171,0.986911,1.10534,1.23798,1.38654,1.55292,1.73927,1.94799,2.18175,2.44356,2.73678,3.0652,3.43302,3.84498,4.30638,4.82315,5.40192,6.05016,6.77617,7.58931,8.50003,9.52004,10.6624,11.9419,13.375,14.98,16.7776,18.7909,21.0458,23.5713,26.3998,29.5678,33.1159,37.0898,41.5406,46.5255,52.1085,58.3616,65.365,73.2088,81.9938,91.8331,102.853,115.195,129.019,144.501,161.841,181.262,203.014,227.375,254.66,285.22,319.446,357.779,400.713,448.798,502.654,562.973,630.53,706.193,790.936,885.849,992.15,1111.208,1244.553,1393.9,1561.168,1748.508,1958.329,2193.329,2456.528,2751.311,3081.469,3451.245,3865.394,4329.242,4848.75,5430.601,6082.272,6812.146,7629.603,8545.155,9570.574,10719.04,12005.33,13445.97,15059.48,16866.62,18890.62,21157.49,23696.39,26539.96,29724.75,33291.72,37286.73,41761.13,46772.47,52385.16,58671.39,65711.95,39.346,-999.25,21.9,19,1,2.22493,Macro,36.0000
37,14.664,10.8705,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.0151607,0.298983,0.978787,1.84214,2.72871,3.56662,4.33117,5.01856,5.63334,6.18284,6.67487,7.11675,7.51498,7.8742,8.20127,8.49932,8.77188,9.02197,9.25217,9.46469,9.66145,9.84411,10.0141,10.1726,10.3209,10.4597,10.5901,10.7127,10.8282,10.9372,11.0402,11.1377,11.2301,11.3179,11.4013,11.4807,11.5563,11.6284,11.6973,11.7631,11.8261,11.8864,11.9442,11.9997,12.053,12.1041,12.1534,12.2008,12.2464,12.2904,12.3328,12.3738,12.4133,12.4516,12.4886,12.5244,12.559,12.5927,12.6252,12.6569,12.6876,12.7174,12.7464,12.7747,12.8021,12.8289,12.855,12.8805,12.9054,12.9297,2.15296,CYAN,0.437288,0.163613,5.66704,0.5,0.56,0.6272,0.702464,0.78676,0.881171,0.986911,1.10534,1.23798,1.38654,1.55292,1.73927,1.94799,2.18175,2.44356,2.73678,3.0652,3.43302,3.84498,4.30638,4.82315,5.40192,6.05016,6.77617,7.58931,8.50003,9.52004,10.6624,11.9419,13.375,14.98,16.7776,18.7909,21.0458,23.5713,26.3998,29.5678,33.1159,37.0898,41.5406,46.5255,52.1085,58.3616,65.365,73.2088,81.9938,91.8331,102.853,115.195,129.019,144.501,161.841,181.262,203.014,227.375,254.66,285.22,319.446,357.779,400.713,448.798,502.654,562.973,630.53,706.193,790.936,885.849,992.15,1111.208,1244.553,1393.9,1561.168,1748.508,1958.329,2193.329,2456.528,2751.311,3081.469,3451.245,3865.394,4329.242,4848.75,5430.601,6082.272,6812.146,7629.603,8545.155,9570.574,10719.04,12005.33,13445.97,15059.48,16866.62,18890.62,21157.49,23696.39,26539.96,29724.75,33291.72,37286.73,41761.13,46772.47,52385.16,58671.39,65711.95,22.838,105.11,28.7,20.6,1,2.39971,Macro,37.0000
38,12.6843,-999.25,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.00100185,0.0192526,0.204881,0.621427,1.17819,1.78586,2.39155,2.96912,3.50762,4.00399,4.45905,4.87539,5.25627,5.60507,5.92504,6.21918,6.49017,6.74044,6.9721,7.18705,7.38692,7.5732,7.74717,7.90997,8.0626,8.20598,8.34089,8.46804,8.58808,8.70157,8.80902,8.91091,9.00763,9.09958,9.18709,9.27046,9.35,9.42594,9.49853,9.56798,9.63449,9.69824,9.7594,9.81812,9.87454,9.9288,9.98101,10.0313,10.0798,10.1265,10.1716,10.2151,10.2572,10.2978,10.3371,10.3752,10.412,10.4477,10.4823,10.5158,10.5484,10.58,10.6106,10.6404,0.015117,CYAN,0.55165,-999.25,2.36057,0.5,0.56,0.6272,0.702464,0.78676,0.881171,0.986911,1.10534,1.23798,1.38654,1.55292,1.73927,1.94799,2.18175,2.44356,2.73678,3.0652,3.43302,3.84498,4.30638,4.82315,5.40192,6.05016,6.77617,7.58931,8.50003,9.52004,10.6624,11.9419,13.375,14.98,16.7776,18.7909,21.0458,23.5713,26.3998,29.5678,33.1159,37.0898,41.5406,46.5255,52.1085,58.3616,65.365,73.2088,81.9938,91.8331,102.853,115.195,129.019,144.501,161.841,181.262,203.014,227.375,254.66,285.22,319.446,357.779,400.713,448.798,502.654,562.973,630.53,706.193,790.936,885.849,992.15,1111.208,1244.553,1393.9,1561.168,1748.508,1958.329,2193.329,2456.528,2751.311,3081.469,3451.245,3865.394,4329.242,4848.75,5430.601,6082.272,6812.146,7629.603,8545.155,9570.574,10719.04,12005.33,13445.97,15059.48,16866.62,18890.62,21157.49,23696.39,26539.96,29724.75,33291.72,37286.73,41761.13,46772.47,52385.16,58671.39,65711.95,48.071,-999.25,8.81,10.3,1,2.31369,Macro,38.0000
39,20.6164,-999.25,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.0262683,0.434827,1.37086,2.55294,3.76987,4.92461,5.98246,6.93693,7.79321,8.56063,9.24939,9.86919,10.4288,10.9357,11.3967,11.8173,12.2023,12.556,12.8818,13.1828,13.4618,13.7209,13.9622,14.1874,14.3981,14.5956,14.781,14.9555,15.1199,15.2752,15.422,15.561,15.6928,15.8179,15.9369,16.0502,16.1581,16.2611,16.3595,16.4535,16.5435,16.6297,16.7124,16.7917,16.8678,16.941,17.0114,17.0792,17.1445,17.2074,17.2681,17.3266,17.3832,17.4378,17.4907,17.5418,17.5913,17.6392,17.6856,17.7306,17.7742,17.8166,17.8577,17.8976,17.9364,17.9741,18.0107,18.0464,18.0811,18.1148,18.1477,18.1797,18.211,18.2414,18.271,18.3,0.686307,CYAN,0.448438,-999.25,11.143,0.5,0.56,0.6272,0.702464,0.78676,0.881171,0.986911,1.10534,1.23798,1.38654,1.55292,1.73927,1.94799,2.18175,2.44356,2.73678,3.0652,3.43302,3.84498,4.30638,4.82315,5.40192,6.05016,6.77617,7.58931,8.50003,9.52004,10.6624,11.9419,13.375,14.98,16.7776,18.7909,21.0458,23.5713,26.3998,29.5678,33.1159,37.0898,41.5406,46.5255,52.1085,58.3616,65.365,73.2088,81.9938,91.8331,102.853,115.195,129.019,144.501,161.841,181.262,203.014,227.375,254.66,285.22,319.446,357.779,400.713,448.798,502.654,562.973,630.53,706.193,790.936,885.849,992.15,1111.208,1244.553,1393.9,1561.168,1748.508,1958.329,2193.329,2456.528,2751.311,3081.469,3451.245,3865.394,4329.242,4848.75,5430.601,6082.272,6812.146,7629.603,8545.155,9570.574,10719.04,12005.33,13445.97,15059.48,16866.62,18890.62,21157.49,23696.39,26539.96,29724.75,33291.72,37286.73,41761.13,46772.47,52385.16,58671.39,65711.95,11.467,-999.25,28.1,18.6,1,2.59146,Macro,39.0000
40,26.5447,-999.25,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.0298278,2.45725,6.28115,9.44237,11.8592,13.7174,15.1755,16.3445,17.3,18.0945,18.7649,19.3377,19.8327,20.2645,20.6444,20.9812,21.2818,21.5518,21.7955,22.0165,22.218,22.4024,22.5717,22.7278,22.8721,23.0059,23.1303,23.2463,23.3547,23.4561,23.5514,23.6409,23.7253,23.8049,23.8801,23.9513,24.0189,24.083,24.1439,24.2019,24.2571,24.3098,24.3602,24.4083,24.4543,24.4984,24.5407,24.5813,24.6203,24.6577,24.6938,24.7284,24.7618,24.794,24.8251,24.8551,24.884,24.912,24.939,24.9652,24.9905,25.015,25.0388,25.0619,25.0842,25.1059,25.1269,0.473152,CYAN,0.18,-999.25,4.98446,0.5,0.56,0.6272,0.702464,0.78676,0.881171,0.986911,1.10534,1.23798,1.38654,1.55292,1.73927,1.94799,2.18175,2.44356,2.73678,3.0652,3.43302,3.84498,4.30638,4.82315,5.40192,6.05016,6.77617,7.58931,8.50003,9.52004,10.6624,11.9419,13.375,14.98,16.7776,18.7909,21.0458,23.5713,26.3998,29.5678,33.1159,37.0898,41.5406,46.5255,52.1085,58.3616,65.365,73.2088,81.9938,91.8331,102.853,115.195,129.019,144.501,161.841,181.262,203.014,227.375,254.66,285.22,319.446,357.779,400.713,448.798,502.654,562.973,630.53,706.193,790.936,885.849,992.15,1111.208,1244.553,1393.9,1561.168,1748.508,1958.329,2193.329,2456.528,2751.311,3081.469,3451.245,3865.394,4329.242,4848.75,5430.601,6082.272,6812.146,7629.603,8545.155,9570.574,10719.04,12005.33,13445.97,15059.48,16866.62,18890.62,21157.49,23696.39,26539.96,29724.75,33291.72,37286.73,41761.13,46772.47,52385.16,58671.39,65711.95,34.906,-999.25,44.1,24.6,1,2.59382,Macro,40.0000
41,38.0565,5.78249,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.00100001,0.00101871,0.00181072,0.00843464,0.0329785,0.0908619,0.195102,0.35332,0.567626,0.835895,1.1533,1.51361,1.91011,2.33619,2.78568,3.25304,3.73341,4.22259,4.71701,5.21367,5.71008,6.20418,6.69431,7.1791,7.65748,8.12859,8.59178,9.04654,9.49253,9.92948,10.3572,10.7757,11.1849,11.5848,11.9746,12.3562,12.7289,13.0928,13.4481,13.7949,14.1335,14.464,14.7866,15.1015,15.409,15.7092,16.0024,16.2887,16.5683,16.8415,17.1084,17.3691,17.6239,17.873,18.1165,18.3546,18.5874,18.8151,19.0378,19.2557,19.469,19.6777,19.882,20.0821,20.278,20.4698,20.6578,20.8419,21.0223,21.1991,21.3725,21.5424,21.7091,21.8725,22.0329,22.1901,22.3445,22.496,22.6446,22.7906,22.9339,1.50487,CYAN,2.04185,0.179535,3.32413,0.5,0.56,0.6272,0.702464,0.78676,0.881171,0.986911,1.10534,1.23798,1.38654,1.55292,1.73927,1.94799,2.18175,2.44356,2.73678,3.0652,3.43302,3.84498,4.30638,4.82315,5.40192,6.05016,6.77617,7.58931,8.50003,9.52004,10.6624,11.9419,13.375,14.98,16.7776,18.7909,21.0458,23.5713,26.3998,29.5678,33.1159,37.0898,41.5406,46.5255,52.1085,58.3616,65.365,73.2088,81.9938,91.8331,102.853,115.195,129.019,144.501,161.841,181.262,203.014,227.375,254.66,285.22,319.446,357.779,400.713,448.798,502.654,562.973,630.53,706.193,790.936,885.849,992.15,1111.208,1244.553,1393.9,1561.168,1748.508,1958.329,2193.329,2456.528,2751.311,3081.469,3451.245,3865.394,4329.242,4848.75,5430.601,6082.272,6812.146,7629.603,8545.155,9570.574,10719.04,12005.33,13445.97,15059.48,16866.62,18890.62,21157.49,23696.39,26539.96,29724.75,33291.72,37286.73,41761.13,46772.47,52385.16,58671.39,65711.95,6.151,334.048,26.38,19.1,1,2.44812,Macro,41.0000
