DEPT [FEET],PHIT [V/V],PERM [MD],G1 [],G2 [],PD1 [PSI],PD2 [PSI],BV1 [%],BV2 [%]
8573.0,0.12728484,0.38000026,0.33633703,0.1,148.74153,650.0,15.666382,0.0
8573.5,0.11561009,0.20999116,0.39523354,0.1,231.66261,650.0,14.910342,0.0
8574.0,0.10639399,0.16001196,0.42417368,0.1,256.6031,650.0,14.431953,0.0
8574.5,0.1167201,0.110005,0.40823507,0.1,263.24496,650.0,14.686576,0.0
8575.0,0.12933676,0.24001892,0.32987064,0.1,165.3776,650.0,15.75773,0.0
8575.5,0.13204318,0.39999402,0.33838135,0.1,145.25749,650.0,15.908395,0.0
8576.0,0.13204318,0.31000757,0.3346143,0.1,152.53746,650.0,15.905549,0.0
8576.5,0.13459517,0.26999888,0.32935983,0.1,158.70154,650.0,15.947481,0.0
8577.0,0.15572791,0.46000117,0.20778564,0.1,184.52072,650.0,17.2281,0.0
8577.5,0.17399247,0.7000074,0.18871613,0.1,180.34479,650.0,20.391521,0.0
8578.0,0.19753087,1.0600355,0.26070613,0.1,185.76419,650.0,22.429878,0.0
8578.5,0.19819775,1.4100373,0.22730811,0.1,159.0282,650.0,22.104738,0.0
8579.0,0.21003379,1.7700514,0.19463418,0.1,108.53145,650.0,20.437983,0.56539583
8579.5,0.21215716,1.940053,0.18667851,0.1,104.248566,650.0,20.315662,0.9000538
8580.0,0.21215716,1.7800003,0.19517812,0.1,106.61844,650.0,20.222868,0.9928483
8580.5,0.20341508,1.7199978,0.21438305,0.1,116.13441,650.0,20.536188,0.0
8581.0,0.1956089,1.7599922,0.19942,0.1,144.52979,650.0,21.79958,0.0
8581.5,0.1857749,1.8000201,0.1708628,0.1,144.75613,650.0,20.974926,0.0
8582.0,0.17430484,1.3500234,0.2210249,0.1,135.49838,650.0,20.29962,0.0
8582.5,0.15873358,0.9299892,0.2543926,0.1,137.95042,650.0,18.436241,0.0
8583.0,0.13459517,0.65999126,0.40649468,0.1,113.4219,650.0,15.8671,0.0
8583.5,0.1167201,0.38998827,0.34606,0.1,143.34923,650.0,15.221759,0.0
8584.0,0.10146158,1.124793,0.47065508,0.1,57.495632,650.0,12.271554,0.0
8584.5,0.10352226,0.64134467,0.47797668,0.1,68.283424,650.0,13.424904,0.0
8585.0,0.1186348,0.19459274,0.38890117,0.1,232.25833,650.0,15.015686,0.0
8585.5,0.13781078,0.21000332,0.32865304,0.1,209.80312,650.0,15.762396,0.0
8586.0,0.13885178,0.23999994,0.3182342,0.1,168.23439,650.0,15.975168,0.0
8586.5,0.11695066,0.22999929,0.3908018,0.1,225.87483,650.0,14.989018,0.0
8587.0,0.11472756,0.13000159,0.4087977,0.1,257.3309,650.0,14.679716,0.0
8587.5,0.11561009,0.14000238,0.40397534,0.1,252.29948,650.0,14.758329,0.0
8588.0,0.13781078,0.25000247,0.32171535,0.1,164.61966,650.0,15.980687,0.0
8588.5,0.1531206,0.34000105,0.20608748,0.1,188.32677,650.0,17.041807,0.0
8589.0,0.15516128,0.3700033,0.20722531,0.1,187.15149,650.0,17.1252,0.0
8589.5,0.14523877,0.37999982,0.24058877,0.1,173.27446,650.0,16.602423,0.0
8590.0,0.13459517,0.24000198,0.3256006,0.1,166.47845,650.0,15.897081,0.0
8590.5,0.11834278,0.17000899,0.39195693,0.1,239.38086,650.0,14.959233,0.0
8591.0,0.11695066,0.18000051,0.39447808,0.1,237.91702,650.0,14.919217,0.0
8591.5,0.1167201,0.19000028,0.3940905,0.1,235.44116,650.0,14.927231,0.0
8592.0,0.12869799,0.27000576,0.33193007,0.1,159.7494,650.0,15.750681,0.0
8592.5,0.14469928,0.36999768,0.25358802,0.1,169.52887,650.0,16.585434,0.0
8593.0,0.1571721,0.54000175,0.21259126,0.1,181.05553,650.0,17.41064,0.0
8593.5,0.15979068,0.709997,0.2126629,0.1,166.78734,650.0,18.598845,0.0
8594.0,0.1571721,0.6699982,0.21428418,0.1,177.63611,650.0,17.594622,0.0
8594.5,0.15504877,0.59999985,0.21454114,0.1,179.88567,650.0,17.407543,0.0
8595.0,0.12869799,0.459996,0.3361632,0.1,145.11496,650.0,15.655349,0.0
8595.5,0.115858555,0.3299934,0.34441057,0.1,147.50198,650.0,15.268798,0.0
8596.0,0.10146158,0.19999918,0.4136048,0.1,362.41003,650.0,12.574945,0.0
8596.5,0.11038454,0.070001625,0.40514687,0.1,390.45956,650.0,13.23022,0.0
8597.0,0.1186348,0.16000316,0.39238286,0.1,242.1758,650.0,14.95009,0.0
8597.5,0.13781078,0.2500013,0.3217152,0.1,164.62,650.0,15.980685,0.0
8598.0,0.12933676,0.2999987,0.33342764,0.1,155.35449,650.0,15.783891,0.0
8598.5,0.11695066,0.32999596,0.34327307,0.1,148.25829,650.0,15.30386,0.0
8599.0,0.10146158,0.22999893,0.41037384,0.1,356.4121,650.0,12.592901,0.0
8599.5,0.073499076,0.10000209,1.9958243,0.1,627.4133,650.0,13.831984,0.0
8600.0,0.058861103,0.07000047,2.5903754,0.1,625.6397,650.0,15.769313,0.0
8600.5,0.056352526,0.04399671,2.9932618,0.1,558.84906,650.0,16.434805,0.0
8601.0,0.056352526,0.04350202,3.002893,0.1,556.6121,650.0,16.46053,0.0
8601.5,0.05852223,0.11437034,2.1292582,0.1,687.6181,650.0,14.1808815,0.0
8602.0,0.0580815,0.15848424,1.7876079,0.1,719.6313,650.0,12.942203,0.0
8602.5,0.07103971,0.32744956,0.62255144,0.1,562.62885,650.0,8.707232,0.0
8603.0,0.087172076,0.8299714,0.40774998,0.1,53.20538,650.0,9.706938,0.0
8603.5,0.08507469,0.42999437,0.39482957,0.1,223.44333,650.0,8.507933,0.0
